#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 28.400000 0.962740 -1.278358 8.440686
 28.600000 1.093340 -0.716181 12.508236
 28.800000 1.042479 -0.251999 10.859982
 29.000000 1.257845 -0.344533 10.253319
 29.200000 1.314825 -0.780627 11.406829
 29.400000 1.175146 -1.124861 10.122715
 29.600000 0.969387 -1.522808 5.671764
 29.800000 1.256873 -1.357740 7.254966
 30.000000 1.197239 -0.922294 11.651271
 30.200000 1.300152 -0.910445 11.729127
 30.400000 1.188955 -0.774526 13.025162
 30.600000 1.087448 -1.135104 10.775905
 30.800000 1.208341 -1.400245 7.216853
 31.000000 0.985426 -1.363553 7.799557
 31.200000 0.871255 -0.862025 12.689794
 31.400000 0.908944 -0.526227 13.244576
 31.600000 0.803447 -0.587255 12.704000
 31.800000 0.676827 -0.979398 10.145397
 32.000000 0.946083 -1.563795 6.030646
 32.200000 1.096361 -1.345245 9.682979
 32.400000 1.036666 -0.981072 12.934746
 32.600000 0.890395 -0.368833 12.438783
 32.800000 1.104073 0.018673 8.791105
 33.000000 0.865951 0.173111 7.422233
 33.200000 1.183333 -0.322007 11.862950
 33.400000 0.710216 -0.812857 11.464591
 33.600000 0.915401 -1.622035 6.197086
 33.800000 0.782585 -1.336921 8.717937
 34.000000 1.162250 -0.855545 13.257818
 34.200000 0.846247 -0.241490 11.859156
 34.400000 0.915488 0.015174 9.936614
 34.600000 1.114282 -0.295687 12.263405
 34.800000 1.333436 -0.906131 12.483958
 35.000000 1.032106 -1.220349 11.423337
 35.200000 1.172602 -1.639932 6.395948
 35.400000 1.158197 -1.854637 4.056046
 35.600000 0.845157 -1.446775 8.620871
 35.800000 1.287095 -0.825972 13.471519
 36.000000 1.135452 -0.079203 10.277943
 36.200000 1.032840 0.029463 10.400112
 36.400000 1.361610 -0.416235 11.528388
 36.600000 1.049984 -1.035927 13.820580
 36.800000 0.924521 -1.396515 9.661958
 37.000000 1.061273 -2.044731 2.640725
 37.200000 0.802006 -1.787520 5.043963
 37.400000 0.911958 -1.369040 10.117605
 37.600000 1.141557 -0.464081 13.797937
 37.800000 0.846873 0.400561 5.760434
 38.000000 0.869585 0.643243 2.697254
 38.200000 0.904378 0.036384 10.608310
 38.400000 0.998092 -1.123686 13.077450
 38.600000 0.877576 -1.855454 4.747511
 38.800000 0.904274 -1.886078 4.581880
