#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  58
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  92
#! SET periodic_psi true
   -3.141592654   -3.141592654   74.407510321   46.921825247  -15.893718243
   -3.033261872   -3.141592654   79.018000716   37.518586855  -16.157510765
   -2.924931091   -3.141592654   82.545708406   26.938166979  -16.327558331
   -2.816600310   -3.141592654   84.899515741   16.131360867  -16.304250420
   -2.708269529   -3.141592654   86.111931693    6.124555063  -16.267097492
   -2.599938748   -3.141592654   86.327245762   -2.100576807  -16.291795167
   -2.491607967   -3.141592654   85.775291095   -8.003826261  -16.356416483
   -2.383277185   -3.141592654   84.717844345  -11.317454059  -16.504739690
   -2.274946404   -3.141592654   83.430267507  -12.124870698  -16.672179879
   -2.166615623   -3.141592654   82.179551438  -10.866617599  -16.983689278
   -2.058284842   -3.141592654   81.125491228   -8.367720414  -17.468038037
   -1.949954061   -3.141592654   80.369686292   -5.539581528  -18.172009139
   -1.841623280   -3.141592654   79.892459006   -3.348973077  -19.250641564
   -1.733292499   -3.141592654   79.572282865   -2.704732803  -20.831657803
   -1.624961717   -3.141592654   79.200886683   -4.294362222  -23.044473952
   -1.516630936   -3.141592654   78.514277629   -8.372615101  -25.849114110
   -1.408300155   -3.141592654   77.249946909  -14.865517101  -29.172515884
   -1.299969374   -3.141592654   75.166082418  -23.236119687  -32.918297294
   -1.191638593   -3.141592654   72.107339953  -32.635595544  -36.685035125
   -1.083307812   -3.141592654   68.028956051  -42.054798088  -40.160570966
   -0.974977030   -3.141592654   62.993958127  -50.193842013  -42.890147006
   -0.866646249   -3.141592654   57.205196862  -56.144652490  -44.485482115
   -0.758315468   -3.141592654   50.933596500  -59.144441486  -44.673152711
   -0.649984687   -3.141592654   44.519928305  -58.767656209  -43.309258580
   -0.541653906   -3.141592654   38.333414290  -54.933682800  -40.463116349
   -0.433323125   -3.141592654   32.737049676  -47.883048031  -36.227486289
   -0.324992343   -3.141592654   28.060407808  -37.930445214  -30.783819757
   -0.216661562   -3.141592654   24.584235476  -25.810666873  -24.406024092
   -0.108330781   -3.141592654   22.501356628  -12.132344385  -17.493726209
    0.000000000   -3.141592654   21.950711095    2.249687614  -10.411034803
    0.108330781   -3.141592654   22.963407696   16.511921545   -3.384867008
    0.216661562   -3.141592654   25.458919775   29.598840497    3.187837890
    0.324992343   -3.141592654   29.268157927   40.463949010    9.120456742
    0.433323125   -3.141592654   34.078032575   48.116130234   13.914986678
    0.541653906   -3.141592654   39.493411090   51.657410293   17.501237057
    0.649984687   -3.141592654   45.055446610   50.505945064   19.768144043
    0.758315468   -3.141592654   50.224380308   44.575553601   20.650615335
    0.866646249   -3.141592654   54.517724330   34.418322844   20.198100649
    0.974977030   -3.141592654   57.534924778   20.958855191   18.534676396
    1.083307812   -3.141592654   58.984393539    5.749145333   15.994341103
    1.191638593   -3.141592654   58.777986906   -9.492931410   12.859637438
    1.299969374   -3.141592654   56.996368487  -23.085266719    9.512726261
    1.408300155   -3.141592654   53.902389571  -33.583866846    6.133321195
    1.516630936   -3.141592654   49.910753137  -39.966651519    3.081233690
    1.624961717   -3.141592654   45.470542600  -41.801335465    0.491894494
    1.733292499   -3.141592654   41.071378917  -39.144083080   -1.592581711
    1.841623280   -3.141592654   37.187861097  -32.481993925   -3.233301222
    1.949954061   -3.141592654   34.202462276  -22.585579113   -4.530511209
    2.058284842   -3.141592654   32.417740380  -10.456542987   -5.615638408
    2.166615623   -3.141592654   32.032300421    2.933015002   -6.614287841
    2.274946404   -3.141592654   33.100808150   16.531266856   -7.638076478
    2.383277185   -3.141592654   35.622501094   29.472609963   -8.693505669
    2.491607967   -3.141592654   39.463079599   40.848565352   -9.848125034
    2.599938748   -3.141592654   44.416923113   49.918181663  -11.142606096
    2.708269529   -3.141592654   50.189297693   56.021686563  -12.390831949
    2.816600310   -3.141592654   56.445623593   58.896624486  -13.598117825
    2.924931091   -3.141592654   62.803413180   58.189347089  -14.611400295
    3.033261872   -3.141592654   68.901449473   54.043948637  -15.390510425

   -3.141592654   -3.073297161   73.196457304   46.619210106  -19.314319226
   -3.033261872   -3.073297161   77.787672178   37.375796121  -19.676754692
   -2.924931091   -3.073297161   81.311680616   26.931428622  -19.762353762
   -2.816600310   -3.073297161   83.668252502   16.189778371  -19.700225696
   -2.708269529   -3.073297161   84.889665108    6.230842223  -19.492894139
   -2.599938748   -3.073297161   85.106280518   -2.051105026  -19.262976314
   -2.491607967   -3.073297161   84.553207612   -7.991605877  -19.150995916
   -2.383277185   -3.073297161   83.486052000  -11.373736838  -19.030412632
   -2.274946404   -3.073297161   82.195138141  -12.213646584  -19.062227325
   -2.166615623   -3.073297161   80.921747599  -11.067405066  -19.221130132
   -2.058284842   -3.073297161   79.844248341   -8.711225083  -19.607144944
   -1.949954061   -3.073297161   79.042648349   -6.092525069  -20.306386869
   -1.841623280   -3.073297161   78.488322588   -4.202868050  -21.417282022
   -1.733292499   -3.073297161   78.059013681   -3.955162894  -23.113344809
   -1.624961717   -3.073297161   77.526303449   -5.904059872  -25.401619180
   -1.516630936   -3.073297161   76.642197583  -10.336492496  -28.300303668
   -1.408300155   -3.073297161   75.146995784  -17.106524069  -31.688962422
   -1.299969374   -3.073297161   72.811173470  -25.586684466  -35.279199663
   -1.191638593   -3.073297161   69.507015949  -34.863750849  -38.860110949
   -1.083307812   -3.073297161   65.207971710  -43.892066234  -41.901245210
