#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654   18.540767060  -48.412462013
   -2.951193099   10.482330300  -35.201584343
   -2.760793544    5.421835610  -17.820889182
   -2.570393989    3.571873452   -2.485436256
   -2.379994435    3.993836063    5.388443339
   -2.189594880    5.027418566    4.050368476
   -1.999195325    5.136803087   -3.452030681
   -1.808795770    3.727915871  -10.715441188
   -1.618396215    1.482163086  -11.387158537
   -1.427996661    0.000000000   -2.635414277
   -1.237597106    0.946554313   13.402112462
   -1.047197551    5.198042586   30.930566527
   -0.856797996   12.418920750   43.630901994
   -0.666398442   21.253155739   47.370926130
   -0.475998887   29.848066553   41.236655064
   -0.285599332   36.434488558   26.688975245
   -0.095199777   39.665901116    6.551921275
    0.095199777   38.821422882  -15.376028983
    0.285599332   34.012230538  -34.198034578
    0.475998887   26.368304707  -44.222005194
    0.666398442   18.040068460  -40.889774174
    0.856797996   11.722604204  -23.466723699
    1.047197551    9.736135146    3.409202181
    1.237597106   13.075570557   30.927309335
    1.427996661   20.972532259   49.982145450
    1.618396215   31.229899147   55.322933668
    1.808795770   41.163643010   47.002298174
    1.999195325   48.516780946   29.072434411
    2.189594880   51.955666797    6.706772466
    2.379994435   51.070784294  -15.705704471
    2.570393989   46.176561280  -34.925385979
    2.760793544   38.144798731  -48.216404985
    2.951193099   28.349112355  -53.138126479
