#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 28.400000 -1.479775 0.046678 1.995706
 28.600000 -1.169076 0.099356 2.081018
 28.800000 -1.127158 0.452821 3.988552
 29.000000 -1.488418 1.204425 8.501303
 29.200000 -1.214359 1.592855 8.053083
 29.400000 -1.654663 1.967749 6.314880
 29.600000 -1.697182 2.695978 3.431947
 29.800000 -1.652415 3.095223 1.778890
 30.000000 -2.610324 2.389189 5.691063
 30.200000 -2.695994 2.241443 5.177916
 30.400000 -1.993867 2.854020 5.026812
 30.600000 -1.120756 2.649083 1.068006
 30.800000 -1.458810 1.936109 6.505379
 31.000000 -1.176442 1.128784 8.625826
 31.200000 -1.087748 -0.125902 1.209276
 31.400000 -1.587050 -0.366185 0.556515
 31.600000 -2.038622 0.219641 2.430529
 31.800000 -1.912338 1.095908 6.830177
 32.000000 -1.079709 1.534626 7.923192
 32.200000 -1.473446 2.410239 3.567593
 32.400000 -1.968767 -3.048416 2.552181
 32.600000 3.123859 2.738975 3.373084
 32.800000 -1.937892 2.715277 5.242737
 33.000000 -0.933998 2.190196 2.631518
 33.200000 -1.787911 1.259396 8.229341
 33.400000 -2.355767 -0.188486 0.825137
 33.600000 -2.130186 -0.753081 0.062032
 33.800000 -2.324321 -0.000407 1.289591
 34.000000 -2.163848 1.060641 4.324743
 34.200000 -0.939790 2.158382 3.927847
 34.400000 -1.780466 2.712517 4.211009
 34.600000 -2.896134 2.835337 5.126055
 34.800000 -2.050450 -3.102184 3.255539
 35.000000 -1.122685 2.617811 1.643049
 35.200000 -1.648194 1.111302 10.059351
 35.400000 -1.129349 -0.517532 0.252242
 35.600000 -1.449306 -0.304907 0.702219
 35.800000 -1.176246 0.868486 8.510494
 36.000000 -1.594446 2.205470 6.142089
 36.200000 -1.458647 3.095111 1.455210
 36.400000 -3.020495 2.599549 4.567021
 36.600000 -2.392182 2.735905 7.569416
 36.800000 -1.428245 2.760787 3.104284
 37.000000 -1.453165 2.516099 4.824019
 37.200000 -2.236584 1.410122 4.212787
 37.400000 -2.641688 1.147941 1.696253
 37.600000 -2.198600 0.411771 2.821573
 37.800000 -1.351533 -0.217513 0.955578
 38.000000 -1.209604 0.172445 2.491639
 38.200000 -1.439355 1.129984 10.871244
 38.400000 -1.397833 1.982977 8.180413
 38.600000 -1.416305 2.678548 4.454467
 38.800000 -2.043411 3.019806 4.718228
 39.000000 -3.014673 2.417767 4.265134
 39.200000 -2.101407 2.861536 6.370335
 39.400000 -1.150406 2.685766 3.473267
 39.600000 -1.558864 1.572820 9.771030
 39.800000 -1.102266 0.650472 6.333714
 40.000000 -1.780302 -0.031782 2.186310
 40.200000 -1.149467 -0.315129 1.447128
 40.400000 -1.134714 0.063320 3.455219
 40.600000 -1.751150 0.931420 8.995363
 40.800000 -1.332747 1.192824 10.909528
 41.000000 -1.525715 1.135938 10.703371
 41.200000 -1.539066 0.461613 6.298647
 41.400000 -0.912613 -0.241091 1.513012
 41.600000 -1.808823 -0.081562 2.990523
 41.800000 -2.071551 0.458453 4.277345
 42.000000 -1.931125 1.109914 8.231850
 42.200000 -1.348319 1.660319 10.038331
 42.400000 -1.135130 2.252464 5.998277
 42.600000 -2.286544 2.872161 7.003312
 42.800000 -2.848418 -3.072015 3.281605
 43.000000 -1.946651 2.853198 5.616639
 43.200000 -1.309705 2.119937 7.454112
 43.400000 -1.141660 1.451254 10.419978
 43.600000 -1.709518 0.527262 6.731510
 43.800000 -1.186095 -0.580363 0.445391
 44.000000 -1.088531 -0.096801 2.563185
 44.200000 -1.794279 1.336260 9.933582
 44.400000 -1.289425 2.277087 6.727274
 44.600000 -1.590754 -3.060145 1.869916
 44.800000 -3.043508 2.615271 5.338973
 45.000000 -2.214909 3.088310 5.525368
 45.200000 -2.101670 2.984661 7.058213
 45.400000 -2.629420 2.361109 7.625073
 45.600000 -2.535315 2.699456 9.038598
 45.800000 -2.745303 -2.984696 3.571274
 46.000000 -2.619007 3.114772 5.894725
 46.200000 -2.384134 2.512372 9.419924
 46.400000 -2.294168 2.291642 8.074030
 46.600000 -2.657549 2.456060 8.244960
 46.800000 -2.295874 -2.906161 3.986724
 47.000000 -2.756123 -3.040270 4.877527
 47.200000 -2.681083 2.371552 7.567320
 47.400000 -1.424160 2.370767 6.885909
 47.600000 -1.280258 2.272781 6.721503
 47.800000 -1.632876 2.485185 7.239156
 48.000000 -2.145545 2.724531 9.372492
 48.200000 -2.659842 3.027308 8.555107
 48.400000 -2.696852 2.899817 9.066154
 48.600000 -1.886644 2.789061 8.277004
 48.800000 -2.269565 2.243593 8.019130
 49.000000 -2.232497 2.030614 6.174231
 49.200000 -2.650821 2.194101 6.757048
 49.400000 -2.164709 -3.123071 7.074600
 49.600000 -2.850752 -2.936108 4.403208
 49.800000 -2.926104 2.710082 7.384161
 50.000000 -2.253747 2.231196 8.698160
 50.200000 -1.299024 2.572519 5.659520
 50.400000 -1.040474 2.370181 5.211523
 50.600000 -1.821620 2.432024 9.383811
 50.800000 -2.201333 2.711501 10.841111
 51.000000 -2.537247 3.092688 8.507764
 51.200000 -2.709539 2.856102 9.892802
 51.400000 -2.275347 2.628332 11.454068
 51.600000 -2.354964 2.085697 7.790910
 51.800000 -2.416523 2.327451 9.953031
 52.000000 -2.682636 2.965051 9.655524
 52.200000 -2.563807 -2.881352 5.501123
 52.400000 -2.427850 2.915657 11.633832
 52.600000 -2.442787 2.067706 7.185814
 52.800000 -1.967530 2.091503 9.039199
 53.000000 -1.951805 2.390796 10.101676
 53.200000 -1.198929 3.031247 2.197100
 53.400000 -1.646138 2.420567 9.224084
 53.600000 -1.378335 1.936394 9.061720
 53.800000 -1.313381 1.626024 10.390829
 54.000000 -1.541538 0.893586 10.925555
 54.200000 -1.136939 0.194202 4.850231
 54.400000 -1.218601 0.117528 4.794108
 54.600000 -1.751420 0.606446 7.909577
 54.800000 -1.374213 1.023812 12.345423
 55.000000 -1.390265 1.058127 12.528905
 55.200000 -1.299024 0.729182 9.849131
 55.400000 -1.823772 0.009114 3.861713
 55.600000 -1.071507 -0.548961 0.928772
 55.800000 -1.448429 0.372695 6.312796
 56.000000 -1.204907 1.064377 12.184770
 56.200000 -1.333548 1.552460 11.494661
