#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654 -119.938183908  -53.334393173
   -2.951193099 -128.287175777  -33.954060257
   -2.760793544 -132.800574224  -13.984660587
   -2.570393989 -133.888158559    1.300297629
   -2.379994435 -132.818619982    8.359570644
   -2.189594880 -131.262948624    6.654710625
   -1.999195325 -130.650031014   -0.741590370
   -1.808795770 -131.535467025   -7.992786831
   -1.618396215 -133.303767224   -9.233171231
   -1.427996661 -134.473111097   -1.658536664
   -1.237597106 -133.473967176   12.851898516
   -1.047197551 -129.468488728   28.843008688
   -0.856797996 -122.759328577   40.400293776
   -0.666398442 -114.584860375   43.813343759
   -0.475998887 -106.606239424   38.476709690
   -0.285599332 -100.379403375   25.740756858
   -0.095199777  -97.113538165    7.768655892
    0.095199777  -97.560380164  -12.719073397
    0.285599332 -101.856187304  -31.873877747
    0.475998887 -109.258412126  -44.359591607
    0.666398442 -117.945251102  -44.568582918
    0.856797996 -125.212057183  -29.349560828
    1.047197551 -128.221732259   -0.681410958
    1.237597106 -125.089921747   33.529423379
    1.427996661 -115.805910766   62.013733174
    1.618396215 -102.467106800   74.836750548
    1.808795770  -88.599097687   67.403955327
    1.999195325  -77.937452945   42.092791539
    2.189594880  -73.200680561    6.768615401
    2.379994435  -75.343890658  -28.527860078
    2.570393989  -83.489602838  -55.079803084
    2.760793544  -95.429829437  -67.894918151
    2.951193099 -108.416536956  -66.326007207
