#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654   14.081559584  -53.624620065
   -2.951193099    5.681286000  -34.165115650
   -2.760793544    1.148711426  -13.956333739
   -2.570393989    0.092490048    1.597609308
   -2.379994435    1.238299557    8.848324316
   -2.189594880    2.895838565    7.218899539
   -1.999195325    3.615244158   -0.201067299
   -1.808795770    2.824727208   -7.545384218
   -1.618396215    1.128447714   -8.929464370
   -1.427996661    0.000000000   -1.529998429
   -1.237597106    1.005966284   12.800371567
   -1.047197551    4.986785357   28.645937157
   -0.856797996   11.649041322   40.116169858
   -0.666398442   19.766060381   43.504720092
   -0.475998887   27.687792016   38.196108928
   -0.285599332   33.866700818   25.524525561
   -0.095199777   37.098588914    7.631645696
    0.095199777   36.632172937  -12.788547193
    0.285599332   32.327027797  -31.905995997
    0.475998887   24.919769551  -44.383246237
    0.666398442   16.227672286  -44.599504937
    0.856797996    8.952680167  -29.404346820
    1.047197551    5.927096506   -0.800303021
    1.237597106    9.025504106   33.291169728
    1.427996661   18.250183735   61.633941812
    1.618396215   31.507609432   74.385835030
    1.808795770   45.295387380   67.047323576
    1.999195325   55.912331271   42.004116050
    2.189594880   60.663577914    7.005502776
    2.379994435   58.587574897  -28.091185152
    2.570393989   50.524563530  -54.687489290
    2.760793544   38.637052436  -67.754482416
    2.951193099   25.648431224  -66.474131859
